,text,polarity
0,مكان جدا جميل وانصح به لانه الوحيد من نوعه في مدينة ينبع من حيث الاشجار والبحيره والطيور المهاجره وايضا السلاحف,Positive
1,يقع مشروع بوليفارد الرياض في حي حطين السكني طريق الأمير تركي الأول مخرج  والذي يعتبر أحد أرقى أحياء الرياض الجديدة وعلى بعد مسافة لا تذكر من مركز الملك عبد الله المالي الذي سوف يشكل علامة فارقة في عالم المال والأعمال بالرياض عند اكتمال,Positive
2,المكان جميل والأكل ممتاز لكن الأسعار مبالغ فيها وهناك استغلال مثلا الغرفه بخمسين ريال وتذكرة الدخول بعشرين والمعامله سيئة,Neutral
3,جميل جدا  التنظيم تطور كثير  ولكن أسعار الأكل والشرب مبالغ فيها غاليه,Neutral
4,تحفة هندسية رائعة بجميع التفاصيل شكرا لكل من سعى وبذل لوجود مثل هذا الصرح المركز عبترة عن حدائق ومسرح ومكتبة ومناطق للالعاب خاصه للاطفال ومركز تعريفي بالنفط وجميع ما يتعلق به,Neutral
5,عيوب,Positive
6,متحف جميل هو عبارة عن بيت حجازي قديم يوجد فيه بعض المقتنيات القديمة,Positive
7,تجربه ناجحه,Positive
8,مغلقه,Positive
9,حبيت للأبد جميله جدا❤😍👌,Neutral
10,كان من ضمن جدول زيارتي للطائف المكان ممتع جدًا خاصةً قسم المخطوطات و أستاذ علي الشريف استقبلني بكل رحابة صدر,Positive
11,تحفه وجميل جدا,Positive
12,الأكل لذيذ المكان رائع المتحف ممتاز وكنت اتمنى أن يوجد مزيد من الشروح في المتحف توجد قاعة احتفالات كبيرة وجميلة داخل المطعم كما توجد أنشطة بيع مختلفة في الدور العلوي أيضا,Negative
13,مكان جميل وراقي براد وحلوو للتنزه طبعاً اذا جيت في موسم يادوب تحصل مكان,Positive
14,جنون,Positive
15,مكان تاريخي مسجل في اليونيسكو,Positive
16,مهرجان جدا جميل بامكاني ان اختصر وصفه بانه مجمعع متنوع للثقافة السعودية,Neutral
17,تاريخيه جدا,Positive
18,متحف جميل يبرز الجانب الثقافي والمعماري والتاريخي لحضارة شبه الجزيرة العربية و الحضارة العثمانية,Negative
19,يحتاج تطوير اكثر وبانتظار المتحف الجديد,Positive
20,تجربة رائعه  مكان مميز منظم يحمل الكثير من الجمال,Neutral
21,جربت كبسة اللحم وكانت عادية جداً   الهريس بالدجاج مميز ولذيذ   البامية كذلك لذيذة,Positive
22,تراث قديم يذكرك بكل شي في الماضي القديم,Positive
23,مميز لو تكون المدة اطول والاهتمام بالتراث اكثر من الاهتمام بالمطاعم,Neutral
24,سوق شعبي حديث  متكامل ملابس  اثاث تحف انصح فيه,Negative
25,ينقصها بعض الخدمات,Neutral
26,تجربتى لدخول القريه الشعبيه مناضر تاريخيه ممتازه ولاكن يجب تخفيض رسوم الدخول وكذلك تخفيض اسعار الغرف ورتفاع اسعار المطاعم بشكل باهض جدآ وكيف نسلم تذاكر لدخول ونسلم تذاكر للغرف لطعام يعنى الي يزورها مره واحده لن يزورها مره اخرى بسبب اسعارها المرتفعه جدآ,Neutral
27,كانت زيارة جميلة وروعة بالجو الرائع ولكن يلزم الانتباه للطريق وبالسلامه للجميع 👋,Negative
28,مكان جميل ينقل لك صورة عن الحياة قديما وعن التراث في منطقة جازان يوجد كذلك سوق شعبي للمنتجات الجازانية يستحق الزيارة,Positive
29,اشكر الادارة العامة لحديقة الحيوانات جزيل الشكر على مايقدمونه من رعاية شاملة للحيوانات وكذالك التطوير وتهيئة المناخ المناسب لكل فصائل الحيوانات  هذا ولكم تحياتي,Positive
30,مميز و فعاليات مستمره,Positive
31,المكان جميل وثري بالمعلومات واوقات الزيارة فيه مناسبة للجميع الدخول للمتحف مجاناً كما وأنه يوجد مرشد سياحي يمكن الاستعانه به لم يكتمل مشروع الترميم في المنطقة لذا سيكون الطريق إليه وعراً نوعاً ما ووقوف الحافلات صعباً سيكتمل المشروع قريباً  انصح بزيارته,Positive
32,عجبني المكان مره رسوم الدخول ٢٠ ريال بس يستاهل معرض للاثار والسيارات والقصاصات القديمه صراحه يستاهل العنوه ويوجد كافيهات وجلسات شعبيه وطاولات,Neutral
33,جميل ومريح جيد للتصوير,Positive
