polarity,word_clean,word_preprocessed
-1,انتبهوا,['انتبه']
-1,ماعدا,['ماعد']
-1,تكدس,['تكدس']
-1,هزيل,['هزيل']
-1,جاف,['جاف']
-1,اتمني,['اتم']
-1,التكيف,['تكيف']
-1,مايرحم,['مايرحم']
-1,حر,['حر']
-1,ياريت,['ياري']
-1,صيانه,['صيان']
-1,دايخه,['دايخ']
-1,حرارة,['حرار']
-1,حراره,['حرار']
-1,سوء,['سوء']
-1,ماامداني,['ماامد']
-1,حياه,['حيا']
-1,خلق,['خلق']
-1,حيل,['حيل']
-1,الشعيب,['شعيب']
-1,سلق,['سلق']
-1,اقل,['اقل']
-1,هلكانه,['هلكان']
-1,مالها,['مال']
-1,ادب,['ادب']
-1,ماتقدرون,['ماتقدر']
-1,تشجير,['تشجير']
-1,انصدمت,['انصدم']
-1,نجمه,['نجم']
-1,لايرقي,['لايرق']
-1,توجع,['توجع']
-1,واحده,['واحد']
-1,الأخطاء,['اخطاء']
-1,مااستغلت,['مااستغل']
-1,مشكلته,['مشكل']
-1,مشكله,['مشكل']
-1,مشاكل,['مشاكل']
-1,مافي,['ماف']
-1,الانتهاء,['انتهاء']
-1,مايستاهل,['مايستاهل']
-1,جريئ,['جريء']
-1,جريئين,['جريء']
-1,تقفل,['تقفل']
-1,موعارف,['موعارف']
-1,موعارفه,['موعارف']
-1,مظلات,['مظلا']
-1,ورفضوا,['رفض']
-1,قليله,['قليل']
-1,قليل,['قليل']
-1,يسوي,['يسو']
-1,استغرب,['استغرب']
-1,استغربت,['استغرب']
-1,غريبه,['غريب']
-1,ماودك,['ماود']
-1,منفسة,['منفس']
-1,شديد,['شديد']
-1,عزابي,['عزاب']
-1,غريب,['غريب']
-1,مكررة,['مكرر']
-1,خطر,['خطر']
-1,جاهل,['جاهل']
-1,متعب,['متعب']
-1,مهو,['مهو']
-1,اسعارهم,['اسعار']
-1,أسعاره,['اسعار']
-1,لكن,[]
-1,مافية,['ماف']
-1,هيصه,['هيص']
-1,إعادة,['اعاد']
-1,توهقت,['توهق']
-1,اسوء,['اسوء']
-1,تكرار,['تكرار']
-1,طفران,['طفران']
-1,طفرانه,['طفران']
-1,نكديه,['نكد']
-1,نكد,['نكد']
-1,اوفر,['اوفر']
-1,بدون,['دون']
-1,بعيد,['عيد']
-1,مقفل,['مقفل']
-1,العيب,['عيب']
-1,المراهقين,['مراهق']
-1,انتبه,['انتب']
-1,مغلق,['مغلق']
-1,ممنوع,['ممنوع']
-1,خسارة,['خسار']
-1,غلط,['غلط']
-1,يهمل,['يهمل']
-1,مسكر,['مسكر']
-1,فلوس,['لوس']
-1,مختزل,['مختزل']
-1,ياخذون,['ياخذ']
-1,بفوقيه,['فوق']
-1,تعبوا,['تعب']
-1,ماعرفوا,['ماعرف']
-1,ضياع,['ضياع']
-1,سحبو,['سحبو']
-1,تقليد,['تقليد']
-1,ذبحونا,['ذبح']
-1,تفقدك,['تفقد']
-1,ماتبيها,['ماتب']
-1,ميت,['ميت']
-1,يرقم,['يرقم']
-1,رقص,['رقص']
-1,أغاني,['اغا']
-1,لا حياء,['حياء']
-1,الفاضي,['فاض']
-1,لاتقدر,['لاتقدر']
-1,الاختلاط,['اختلاط']
-1,التبرج,['تبرج']
-1,المال,['مال']
-1,للوقت,['وقت']
-1,خربوا,['خرب']
-1,ماشفت,['ماشف']
-1,مكرر,['مكرر']
-1,لاتراعي,['لاتراع']
-1,تضرب,['تضرب']
-1,ولا فيه,[]
-1,لدحديره,['لدحدير']
-1,استهتار,['استهتار']
-1,حياء,['حياء']
-1,ماعاد,['ماعاد']
-1,زعلوني,['زعل']
-1,العزف,['عزف']
-1,مشابهه,['مشاب']
-1,مايصلح,['مايصلح']
-1,الوحيده,['وحيده']
-1,مايرتاح,['مايرتاح']
-1,ضيقه,['ضيق']
-1,النجمتين,['نجمت']
-1,يعيق,['يعيق']
-1,اضطريت,['اضطري']
-1,الحسنه,['حسنه']
-1,خيبه,['خيب']
-1,نتمنى,['نتمني']
-1,تحت,[]
-1,مكافحه,['مكافح']
-1,ليسوا,[]
-1,خاب,['خاب']
-1,مو,['مو']
-1,ماقدرت,['ماقدر']
-1,موب,['موب']
-1,افا,['افا']
-1,عقدتك,['عقد']
-1,بلا,['بلا']
-1,خذلت,['خذل']
-1,خسر,['خسر']
-1,لا يعمل,['يعمل']
-1,اشتكيت,['اشتكي']
-1,العفن,['عفن']
-1,بصعوبه,['صعوب']
-1,جافه,['جاف']
-1,استسيغ,['استسيغ']
-1,معاد,['معاد']
-1,مفروض,['مفروض']
-1,استغلال,['استغلال']
-1,بعيدة,['عيد']
-1,نقصت,['نقص']
-1,ارجو,['ارجو']
-1,مزيد,['مزيد']
-1,معد,['معد']
-1,ماحبيت,['ماحبي']
-1,ينقصها,['ينقص']
-1,محترقه,['محترق']
-1,باهت,['باه']
-1,باهته,['باه']
-1,كذاب,['كذاب']
-1,كذابين,['كذاب']
-1,كذب,['كذب']
-1,فاضي,['فاض']
-1,صياعه,['صياع']
-1,استعراض,['استعراض']
-1,محدوده,['محدود']
-1,صغير,['صغير']
-1,كبدي,['كبد']
-1,خامله,['خامل']
-1,اذيه,['اذي']
-1,سلامات,['سلاما']
-1,اختربت,['اخترب']
-1,أتمنى,['اتمني']
-1,للتهيئه,['تهييه']
-1,ابرك,['ابر']
-1,معبد,['معبد']
-1,مستنقع,['مستنقع']
-1,خطره,['خطر']
-1,الاقتراب,['اقتراب']
-1,افسد,['افسد']
-1,اقتراح,['اقتراح']
-1,مزحوم,['مزحوم']
-1,مستغرب,['مستغرب']
-1,معليش,['معليش']
-1,نامس,['نامس']
-1,ترقيم,['ترقيم']
-1,مايناسب,['مايناسب']
-1,تخب,['تخب']
-1,زبايل,['زبايل']
-1,تطفش,['تطفش']
-1,ماترتاح,['ماترتاح']
-1,ناشف,['ناشف']
-1,اعتذار,['اعتذار']
-1,تبرج,['تبرج']
-1,ماش,['ماش']
-1,ماتقدم,['ماتقدم']
-1,مايصير,['مايصير']
-1,نقترح,['نقترح']
-1,واقترح,['واقترح']
-1,نرجو,['نرجو']
-1,للحر,['للحر']
-1,للأسف,['اسف']
