polarity,word_clean,word_preprocessed
3,ممتاز,['ممتاز']
3,رائع,['رايع']
3,مبهر,['مبهر']
3,جميل,['جميل']
3,ساحر,['ساحر']
3,أجمل,['اجمل']
3,روعه,['روع']
3,أسطورة,['اسطور']
3,حبيته,['حبي']
3,حبيت,['حبي']
3,احبتتها,['احبت']
3,ممتازه,['ممتاز']
3,مهتمين,['مهتم']
3,تعديلات,['تعديلا']
3,ونيسه,['نيس']
3,اجابي,['اجاب']
3,اجابيه,['اجاب']
3,يمتاز,['يمتاز']
3,لازم,['لازم']
3,تزرونه,['تزرون']
3,اعجبني,['اعجب']
3,يشكرون,['يشكر']
3,يستمتعون,['استمتع']
3,الإيجابيات,['ايجاب']
3,انصح,['انصح']
3,جذاب,['جذاب']
3,رائعه,['رايع']
3,مهمه,['مهم']
3,جبار,['جبار']
3,الذ,['الذ']
3,تجنن,['تجن']
3,لطيف,['لطيف']
3,اهتمام,['اهتمام']
3,خطيره,['خطير']
3,اشتقت,['اشتق']
3,كفو,['كفو']
3,فوق,[]
3,اروق,['اروق']
3,استمتعت,['استمتع']
3,يجننون,['يجنن']
3,الاهتمام,['اهتمام']
3,لايفوته,['لايفو']
3,خرافي,['خراف']
3,بيعجب,['يعجب']
3,انبهرت,['انبهر']
3,ماتندم,['ماتندم']
3,استرخاء,['استرخاء']
3,يهبل,['يهبل']
3,تحفه,['تحف']
3,الحمدلله,['حمدلله']
3,مذهله,['مذهل']
3,عشق,['عشق']
3,لايوصف,['لايوصف']
3,جماله,['جمال']
3,اشكر,['اشكر']
3,عشقي,['عشق']
3,حب,['حب']
3,ابداع,['ابداع']
3,مطلق,['مطلق']
3,جمال,['جمال']
3,فخامه,['خام']
3,أكثر,[]
3,تحب,['تحب']
3,عريقه,['عريق']
3,خمس,[]
3,حلوة,['حلو']
3,رخيصه,['رخيص']
3,مدهشه,['مدهش']
3,لطافه,['لطاف']
3,مذهل,['مذهل']
3,ترحيب,['ترحيب']
3,المفضل,['مفضل']
3,واسع,['واسع']
3,ظريف,['ظريف']
3,احسن,['احس']
3,بيعجبكم,['يعجب']
3,انيق,['انيق']
3,ولااجمل,['لااجمل']
3,ولااروع,['لااروع']
3,بطل,['بطل']
3,بطلة,['بطل']
3,أروع ما,['اروع']
3,ادمنت,['ادمن']
3,منتهى,['منتهي']
3,فارهه,['فار']
3,فخر,['فخر']
3,التوفيق,['توفيق']
3,برافو,['راف']
3,علية,['عل']
3,المتعة,['متع']
3,النجاح,['نجاح']
3,تستحق,['استحق']
3,تعجبني,['تعجب']
3,عجبتني,['عجب']
3,تفوقت,['تفوق']
3,توحفة,['توحف']
3,جربوها,['جرب']
3,جربوا,['جرب']
3,خطيرة,['خطير']
3,خطير,['خطير']
3,خورافية,['خوراف']
3,عادي,['عاد']
3,فريدة,['ريد']
3,متقن,['متق']
3,ملفت,['ملف']
3,ملك,['ملك']
3,مفيد,['مفيد']
3,ذكي,['ذك']
3,جذبتني,['جذب']
3,ابهرتني,['ابهر']
3,بحبها,['بحب']
3,سطوري,['سطور']
3,محبوب,['محبوب']
3,يحبون,['يحبون']
3,يحبونة,['يحبون']
3,الخيال,['خيال']
3,تهبل,['تهبل']
3,فظيعة,['ظيع']
3,فظيع,['ظيع']
3,خلوق,['خلوق']
3,خلوقة,['خلوق']
3,جبارة,['جبار']
3,اناقة,['اناق']
3,بيرفكت,['يرفك']
3,استمتعنا,['استمتع']
3,إحساس,['احساس']
3,شدني,['شدن']
3,بشوشين,['شوش']
3,بشوش,['شوش']
3,محترمين,['محترم']
3,الجميع,['جميع']
3,جذابة,['جذاب']
3,كميه,['كمي']
3,ارقي,['ارق']
3,كيفك,['كيف']
3,لايفوتك,['لايفو']
3,يسنعونهم,['يسنع']
3,سنع,['سنع']
3,يسنع,['يسنع']
3,الافخم,['افخم']
3,حافل,['حافل']
3,متناهية,['متناه']
3,تمتاز,['تمتاز']
3,معلم,['معلم']
3,مميز,['مميز']
3,المعالم,['معالم']
3,عظيم,['عظيم']
3,عظيمه,['عظيم']
3,رائعين,['رايع']
3,لايفوتكم,['لايفو']
3,ضروري,['ضرور']
3,يحمس,['يحمس']
3,يحمسون,['يحمس']
3,لبق,['لبق']
3,ابدعوا,['ابدع']
3,هيبه,['هيب']
3,اعشق,['اعشق']
3,تفداك,['تفد']
3,تفز,['تفز']
3,يافخر,['يافخر']
3,متفائله,['متفايل']
3,عشقنا,['عشق']
3,باهر,['باهر']
3,ناجح,['ناجح']
3,تستحقها,['استحق']
3,ماقصر,['ماقصر']
3,افرحت,['افرح']
3,عز,['عز']
3,سرعه,['سرع']
3,ودود,['دود']
3,ودودين,['دود']
3,ودودون,['دود']
3,جامد,['جامد']
3,فخم,['فخم']
3,فريد,['ريد']
3,مميزيين,['مميزي']
3,يفضل,['يفضل']
3,يفضلون,['يفضل']
3,يهتم,['يهتم']
3,الارتياح,['ارتياح']
3,مطورين,['مطور']
3,بينبسطون,['ينبسط']
3,رمزيه,['رمز']
3,لاابعد,['لاابعد']
3,فرحوا,['فرح']
3,جمالها,['جمال']
3,تكمل,['تكمل']
3,تعدد,['تعدد']
3,ان شاء,"['ان', 'شاء']"
3,طوروها,['طور']
3,ملموسه,['ملموس']
3,رخصيه,['رخص']
3,صايره,['صاير']
3,صاير,['صاير']
3,بشده,['بشد']
3,واضحه,['واضح']
3,للامانه,['امانه']
3,ماتوقعته,['ماتوقع']
3,ماتوقعت,['ماتوقع']
3,متكامل,['متكامل']
3,لاطوفكم,['لاطوف']
3,تلق,['تلق']
3,متحمس,['متحمس']
3,ابتكار,['ابتكار']
3,تنبسط,['تنبسط']
3,خارق,['خارق']
3,مغرم,['مغرم']
3,اندهش,['اندهش']
3,ايجابيه,['ايجاب']
3,مبهجه,['مبهج']
3,ترتاح,['ترتاح']
3,ولا اروعه,['اروع']
3,مايفوت,['مايفو']
3,ايجنن,['ايجن']
3,بأمتياز,['امتياز']
3,مذاق,['مذاق']
3,ابهرني,['ابهر']
3,قيم,['قيم']
3,تعبانين,['تعبان']
3,روحو,['روحو']
3,عشر,[]
3,اجمل,['اجمل']
3,بحقه,['بحق']
3,مايقال,['مايقال']
3,بمعني,['بمع']
3,زيارات,['زيارا']
3,لا مثيل,['مثيل']
3,اذهلنا,['اذهل']
3,مااروعه,['مااروع']
3,مااجمله,['مااجمل']
3,يأسر,['ياسر']
3,حلوه,['حلو']
3,ممتازة,['ممتاز']
3,روعة,['روع']
3,رائعة,['رايع']
3,اجابية,['اجاب']
3,تتميز,['تتميز']
3,مهم,['مهم']
3,نظافتهم,['نظاف']
3,اهتمامهم,['اهتمام']
3,استمتعنى,['استمتعني']
3,رخيصة,['رخيص']
3,للتمشيه,['تمشيه']
3,للتمشية,['تمش']
3,احترافي,['احتراف']
3,حماس,['حماس']
3,وبقوة,['بقو']
3,ولا غلطه,['غلط']
3,استمرو,['استمر']
3,عسل,['عسل']
3,حلال,['حلال']
3,ذوق,['ذوق']
3,كثب,['كثب']
3,خصوصية,['خصوص']
3,اتقان,['اتقان']
3,الأصالة,['اصال']
3,راسخ,['راسخ']
3,يسحرني,['يسحر']
3,معشوقتي,['معشوقت']
3,مماتتصور,['مماتتصور']
3,بروعه,['روع']
3,للاسترخاء,['استرخاء']
3,أريحية,['اريح']
3,فنانه,['نان']
2,اثرت,['اثر']
2,جاذبة,['جاذب']
2,احببتها,['احبب']
2,رايقه,['رايق']
2,راقي,['راق']
2,ملحوظه,['ملحوظ']
2,نجاح,['نجاح']
2,كثيره,['كثير']
2,مايتفوت,['مايتفو']
2,ماتتفوت,['ماتتفو']
2,بأدق,['ادق']
2,شرحه,['شرح']
2,احلي,['احل']
2,ميزه,['ميز']
2,هادى,['هادي']
2,تصلح,['تصلح']
2,عجيب,['عجيب']
2,واضح,['واضح']
2,بنفس,['نفس']
2,تنوع,['تنوع']
2,تقسيمها,['تقسيم']
2,مزدهر,['مزدهر']
2,هادية,['هاد']
2,صراحه,['صراح']
2,نفسيا,['نفسي']
2,مريح,['مريح']
2,انبسطت,['انبسط']
2,متعوب,['متعوب']
2,يابلاش,['يابلاش']
2,احترام,['احترام']
2,انبسطوا,['انبسط']
2,مهيئة,['مهيء']
2,امتع,['امتع']
2,ملهم,['ملهم']
2,اعود,['اعود']
2,عميق,['عميق']
2,براحه,['راح']
2,لذيذ,['لذيذ']
2,تغيرت,['تغير']
2,اربع,['اربع']
2,مجهود,['مجهود']
2,تسهيل,['تسهيل']
2,بدقه,['بدق']
